City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,0.85,86,75,3.6,CA,1686456112
1,tromso,69.6496,18.957,13.54,62,40,2.57,NO,1686456112
2,narwana,29.6167,76.1167,37.03,27,20,2.09,IN,1686456112
3,bethel,41.3712,-73.414,17.64,78,78,0.91,US,1686456112
4,adamstown,-25.066,-130.1015,20.7,55,81,6.66,PN,1686456113
5,adrar,20.5022,-10.0711,27.88,25,0,5.29,MR,1686456113
6,longyearbyen,78.2186,15.6401,6.91,76,75,4.63,SJ,1686456113
7,redencao,-4.2258,-38.7306,22.49,97,2,0.2,BR,1686456114
8,lijiang,26.8688,100.2207,12.2,93,100,0.91,CN,1686456114
9,punta arenas,-53.15,-70.9167,3.06,60,20,6.17,CL,1686456094
10,brand-erbisdorf,50.8667,13.3333,12.18,81,1,1.28,DE,1686456114
11,waitangi,-43.9535,-176.5597,11.57,85,100,4.9,NZ,1686456114
12,kuraymah,18.55,31.85,33.14,22,98,1.2,SD,1686456115
13,blackmans bay,-43.0167,147.3167,16.07,66,48,2.44,AU,1686456115
14,port-aux-francais,-49.35,70.2167,4.08,66,100,12.66,TF,1686456115
15,ribeira grande,38.5167,-28.7,17.96,73,61,3.15,PT,1686456115
16,talnakh,69.4865,88.3972,9.56,43,43,2.9,RU,1686456115
17,gongzhuling,43.5008,124.8198,14.85,89,100,2.3,CN,1686456116
18,dudinka,69.4058,86.1778,9.79,39,83,5.12,RU,1686456116
19,east london,-33.0153,27.9116,9.52,76,0,2.06,ZA,1686456117
20,fort bragg,35.139,-79.006,22.32,55,0,2.57,US,1686456110
21,hasaki,35.7333,140.8333,22.22,92,98,3.31,JP,1686456117
22,papatowai,-46.5619,169.4708,10.33,78,57,1.62,NZ,1686456117
23,qui nhon,13.7667,109.2333,29.95,64,100,4.52,VN,1686456118
24,narrabri,-30.3167,149.7833,20.85,43,0,1.34,AU,1686456118
25,port blair,11.6667,92.75,29.42,81,79,9.29,IN,1686456118
26,qaqortoq,60.7167,-46.0333,4.72,68,100,1.05,GL,1686456118
27,albany,42.6001,-73.9662,13.35,86,53,1.37,US,1686455902
28,mulayjah,27.271,48.4242,36.41,14,0,2.2,SA,1686456118
29,lake city,30.1897,-82.6393,23.84,94,0,0.0,US,1686455793
30,bredasdorp,-34.5322,20.0403,9.96,79,11,1.87,ZA,1686456119
31,borzya,50.3833,116.5167,22.35,40,46,1.99,RU,1686456119
32,college,64.8569,-147.8028,20.32,44,100,2.57,US,1686456092
33,oranjemund,-28.55,16.4333,11.07,90,0,0.4,NA,1686456120
34,celestun,20.8667,-90.4,26.31,86,1,5.76,MX,1686456120
35,colonia,50.9333,6.95,20.54,65,0,2.06,DE,1686456120
36,vizinga,61.0749,50.1031,6.43,57,14,4.89,RU,1686456120
37,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,1686456009
38,grytviken,-54.2811,-36.5092,0.57,88,96,4.18,GS,1686456121
39,zaozersk,69.4005,32.4476,8.04,66,100,0.61,RU,1686456121
40,edinburgh of the seven seas,-37.0676,-12.3116,15.45,90,25,9.12,SH,1686456121
41,nema,57.5067,50.5011,8.1,65,2,3.67,RU,1686456121
42,port lincoln,-34.7333,135.8667,17.92,47,61,5.54,AU,1686456047
43,gehrden,52.3136,9.6003,16.73,82,0,3.6,DE,1686456122
44,constantia,44.1833,28.65,16.5,78,58,1.49,RO,1686456003
45,tiksi,71.6872,128.8694,0.45,97,100,3.61,RU,1686456122
46,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,28,40,7.0,RU,1686456123
47,rabo de peixe,37.8,-25.5833,16.73,67,20,3.6,PT,1686456123
48,hithadhoo,-0.6,73.0833,28.62,73,46,3.0,MV,1686456019
49,whitehorse,60.7161,-135.0538,15.57,36,40,6.17,CA,1686455984
